old_url,new_url,title,migrated_at
https://playbook.dxw.com/govpress-unit/code-review/,https://dxw.getoutline.com/doc/code-review-in-govpress-zSUdW0WI60,"Code review in GovPress",2025-10-16 11:43:14
https://playbook.dxw.com/govpress-unit/hotfixing/,https://dxw.getoutline.com/doc/hotfixing-code-in-govpress-gsfdHNIzh7,"Hotfixing code in GovPress",2025-10-16 11:43:14
https://playbook.dxw.com/govpress-unit/,https://dxw.getoutline.com/doc/the-govpress-business-unit-OZccso1kSh,"The GovPress business unit",2025-10-16 11:43:13
https://playbook.dxw.com/govpress-unit/apprentice-developer-plan/,https://dxw.getoutline.com/doc/development-plan-apprentice-developers-dWruMKBxGC,"Development plan - Apprentice developers",2025-10-16 11:43:13
https://playbook.dxw.com/design/service-design/,https://dxw.getoutline.com/doc/service-design-at-dxw-4gpDGAPqQL,"Service design at dxw",2025-10-16 11:42:21
https://playbook.dxw.com/design/service-design/service-design-approach/,https://dxw.getoutline.com/doc/service-design-approach-15jU6irX50,"Service design approach",2025-10-16 11:42:21
https://playbook.dxw.com/design/design-career-progression-framework/,https://dxw.getoutline.com/doc/design-career-progression-framework-kskdSXZk22,"Design career progression framework",2025-10-16 11:42:20
https://playbook.dxw.com/design/content-design/,https://dxw.getoutline.com/doc/content-design-at-dxw-lkqCHdM5S8,"Content design at dxw",2025-10-16 11:42:20
https://playbook.dxw.com/design/content-design/our-approach-to-content-design/,https://dxw.getoutline.com/doc/our-approach-to-content-desgn-at-dxw-KNHLQFWXM5,"Our approach to content desgn at dxw",2025-10-16 11:42:20
https://playbook.dxw.com/delivery-management/weeknotes/,https://dxw.getoutline.com/doc/project-weeknotes-EUtKP2Gfkc,"Project weeknotes",2025-10-16 11:42:19
https://playbook.dxw.com/delivery-management/wrapping-up-a-project/,https://dxw.getoutline.com/doc/wrapping-up-a-project-1DP2mdBqVK,"Wrapping up a project",2025-10-16 11:42:19
https://playbook.dxw.com/design/,https://dxw.getoutline.com/doc/design-at-dxw-AHFeMmXmBK,"Design at dxw",2025-10-16 11:42:19
https://playbook.dxw.com/delivery-management/sprint-planning/,https://dxw.getoutline.com/doc/sprint-planning-9hRmu8rx89,"Sprint planning",2025-10-16 11:42:18
